Date,OIH
2022-05-17,260.1019592285156
2022-05-18,250.87071228027344
2022-05-19,250.56051635742188
2022-05-20,250.88954162597656
2022-05-23,263.627197265625
2022-05-24,264.8116455078125
2022-05-25,269.7187194824219
2022-05-26,277.8501281738281
2022-05-27,282.7947692871094
2022-05-31,275.8665771484375
2022-06-01,281.3658752441406
2022-06-02,278.56451416015625
2022-06-03,284.60906982421875
2022-06-06,285.65252685546875
2022-06-07,293.8497009277344
2022-06-08,292.23284912109375
2022-06-09,282.0897216796875
2022-06-10,273.5071105957031
2022-06-13,254.81890869140625
2022-06-14,249.47006225585938
2022-06-15,244.356201171875
2022-06-16,230.9134979248047
2022-06-17,221.06178283691406
2022-06-21,231.64671325683594
2022-06-22,219.792724609375
2022-06-23,208.0703125
2022-06-24,215.0830841064453
2022-06-27,223.28030395507812
2022-06-28,228.0745391845703
2022-06-29,224.004150390625
2022-06-30,218.65528869628906
2022-07-01,217.74342346191406
2022-07-05,201.44297790527344
2022-07-06,197.51358032226562
2022-07-07,208.30531311035156
2022-07-08,209.32997131347656
2022-07-11,204.4135284423828
2022-07-12,197.07174682617188
2022-07-13,195.48306274414062
2022-07-14,188.98733520507812
2022-07-15,193.09535217285156
2022-07-18,200.97293090820312
2022-07-19,208.3523406982422
2022-07-20,206.70726013183594
2022-07-21,198.58523559570312
2022-07-22,198.39723205566406
2022-07-25,208.38052368164062
2022-07-26,206.78245544433594
2022-07-27,216.96319580078125
2022-07-28,216.85037231445312
2022-07-29,227.22850036621094
2022-08-01,221.08999633789062
2022-08-02,223.72213745117188
2022-08-03,217.9878387451172
2022-08-04,206.4064178466797
2022-08-05,211.69891357421875
2022-08-08,212.69534301757812
2022-08-09,214.99847412109375
2022-08-10,216.2957305908203
2022-08-11,225.085205078125
2022-08-12,228.2625732421875
2022-08-15,219.06887817382812
2022-08-16,215.8539276123047
2022-08-17,216.5777587890625
2022-08-18,226.69268798828125
2022-08-19,223.4025115966797
2022-08-22,222.06764221191406
2022-08-23,233.2542266845703
2022-08-24,238.33987426757812
2022-08-25,240.62420654296875
2022-08-26,234.86170959472656
2022-08-29,238.86630249023438
2022-08-30,227.69851684570312
2022-08-31,225.30140686035156
2022-09-01,216.91616821289062
2022-09-02,226.45765686035156
2022-09-06,223.29908752441406
2022-09-07,220.2063446044922
2022-09-08,221.13699340820312
2022-09-09,231.82533264160156
2022-09-12,235.2377166748047
2022-09-13,225.4988250732422
2022-09-14,233.66783142089844
2022-09-15,227.54812622070312
2022-09-16,219.8585205078125
2022-09-19,221.52239990234375
2022-09-20,215.44029235839844
2022-09-21,211.2664794921875
2022-09-22,210.01622009277344
2022-09-23,191.74168395996094
2022-09-26,186.8440399169922
2022-09-27,190.66062927246094
2022-09-28,199.515869140625
2022-09-29,199.40306091308594
2022-09-30,198.5476531982422
2022-10-03,212.71414184570312
2022-10-04,220.911376953125
2022-10-05,230.66908264160156
2022-10-06,233.80885314941406
2022-10-07,232.46458435058594
2022-10-10,226.82427978515625
2022-10-11,224.87840270996094
2022-10-12,224.44595336914062
2022-10-13,236.4973907470703
2022-10-14,225.60223388671875
2022-10-17,231.609130859375
2022-10-18,235.07791137695312
2022-10-19,245.98248291015625
2022-10-20,248.17279052734375
2022-10-21,260.6566162109375
2022-10-24,264.9808349609375
2022-10-25,266.0901184082031
2022-10-26,276.05462646484375
2022-10-27,274.95477294921875
2022-10-28,272.5858459472656
2022-10-31,280.79248046875
2022-11-01,280.2472229003906
2022-11-02,274.4189758300781
2022-11-03,282.6068115234375
2022-11-04,288.73590087890625
2022-11-07,298.7474060058594
2022-11-08,298.70977783203125
2022-11-09,283.40582275390625
2022-11-10,289.7981262207031
2022-11-11,299.3584289550781
2022-11-14,293.934326171875
2022-11-15,299.8942565917969
2022-11-16,293.558349609375
2022-11-17,292.35504150390625
2022-11-18,289.9203186035156
2022-11-21,282.57855224609375
2022-11-22,291.3868103027344
2022-11-23,284.016845703125
2022-11-25,281.1308898925781
2022-11-28,274.85137939453125
2022-11-29,281.24365234375
2022-11-30,285.9157409667969
2022-12-01,284.6466369628906
2022-12-02,289.7886962890625
2022-12-05,275.7255859375
2022-12-06,272.5952453613281
2022-12-07,265.5918884277344
2022-12-08,266.4378967285156
2022-12-09,254.6403045654297
2022-12-12,265.63885498046875
2022-12-13,276.7596740722656
2022-12-14,275.1521911621094
2022-12-15,273.1968994140625
2022-12-16,268.7880554199219
2022-12-19,268.9295654296875
2022-12-20,278.5589294433594
2022-12-21,284.703125
2022-12-22,276.3747253417969
2022-12-23,286.82086181640625
2022-12-27,288.5111999511719
2022-12-28,279.3756408691406
2022-12-29,286.6783752441406
2022-12-30,288.7391357421875
2023-01-03,275.00726318359375
2023-01-04,276.02337646484375
2023-01-05,281.2274475097656
2023-01-06,290.1920471191406
2023-01-09,296.5072326660156
2023-01-10,302.0436096191406
2023-01-11,301.7397155761719
2023-01-12,309.222900390625
2023-01-13,311.4261169433594
2023-01-17,313.46783447265625
2023-01-18,300.69512939453125
2023-01-19,299.99237060546875
2023-01-20,304.3702392578125
2023-01-23,302.5374450683594
2023-01-24,300.8185729980469
2023-01-25,308.49169921875
2023-01-26,312.8980407714844
2023-01-27,309.5268249511719
2023-01-30,306.8963317871094
2023-01-31,313.4298095703125
2023-02-01,310.8752746582031
2023-02-02,298.06463623046875
2023-02-03,299.7834777832031
2023-02-06,300.6191711425781
2023-02-07,307.5515441894531
2023-02-08,312.4422302246094
2023-02-09,301.6922302246094
2023-02-10,312.6606140136719
2023-02-13,314.7498474121094
2023-02-14,314.06610107421875
2023-02-15,309.7072448730469
2023-02-16,310.9607849121094
2023-02-17,296.74462890625
2023-02-21,291.1322021484375
2023-02-22,282.7563781738281
2023-02-23,288.33074951171875
2023-02-24,294.3420104980469
2023-02-27,298.8813171386719
2023-02-28,295.244140625
2023-03-01,303.3066711425781
2023-03-02,309.6407470703125
2023-03-03,313.7716979980469
2023-03-06,312.8505554199219
2023-03-07,306.07958984375
2023-03-08,301.09393310546875
2023-03-09,286.7733459472656
2023-03-10,279.5655517578125
2023-03-13,267.3531494140625
2023-03-14,269.1859130859375
2023-03-15,249.48085021972656
2023-03-16,252.11135864257812
2023-03-17,244.61866760253906
2023-03-20,252.0828857421875
2023-03-21,261.3893737792969
2023-03-22,252.3772735595703
2023-03-23,245.61581420898438
2023-03-24,244.41925048828125
2023-03-27,255.09324645996094
2023-03-28,261.21844482421875
2023-03-29,263.412109375
2023-03-30,260.4872131347656
2023-03-31,263.1746826171875
2023-04-03,278.72039794921875
2023-04-04,269.8031921386719
2023-04-05,268.4357604980469
2023-04-06,264.3142395019531
2023-04-10,267.83746337890625
2023-04-11,271.7784729003906
2023-04-12,273.3548889160156
2023-04-13,274.18109130859375
2023-04-14,273.57330322265625
2023-04-17,272.2437744140625
2023-04-18,272.3292541503906
2023-04-19,272.7471008300781
2023-04-20,268.57818603515625
2023-04-21,263.8299865722656
2023-04-24,271.76898193359375
2023-04-25,260.6391296386719
2023-04-26,255.26416015625
