Date,SPY
2023-01-19,372.56866455078125
2023-01-20,379.5093078613281
2023-01-23,384.0628356933594
2023-01-24,383.6506042480469
2023-01-25,383.7944030761719
2023-01-26,388.0124816894531
2023-01-27,388.904052734375
2023-01-30,384.0245361328125
2023-01-31,389.6709289550781
2023-02-01,393.8122863769531
2023-02-02,399.5450439453125
2023-02-03,395.2982482910156
2023-02-06,392.8823547363281
2023-02-07,398.0207214355469
2023-02-08,393.6685485839844
2023-02-09,390.2557373046875
2023-02-10,391.1664123535156
2023-02-13,395.7583312988281
2023-02-14,395.5762023925781
2023-02-15,396.8608093261719
2023-02-16,391.3965148925781
2023-02-17,390.4186706542969
2023-02-21,382.5865478515625
2023-02-22,382.0593566894531
2023-02-23,384.0916442871094
2023-02-24,379.9886169433594
2023-02-27,381.28277587890625
2023-02-28,379.87353515625
2023-03-01,378.4164123535156
2023-03-02,381.35943603515625
2023-03-03,387.47564697265625
2023-03-06,387.7441101074219
2023-03-07,381.80047607421875
2023-03-08,382.4235534667969
2023-03-09,375.3678894042969
2023-03-10,369.95166015625
2023-03-13,369.4242858886719
2023-03-14,375.53094482421875
2023-03-15,373.1822204589844
2023-03-16,379.7297668457031
2023-03-17,375.2896423339844
2023-03-20,378.8983154296875
2023-03-21,383.8734436035156
2023-03-22,377.3298034667969
2023-03-23,378.3498229980469
2023-03-24,380.8325500488281
2023-03-27,381.544677734375
2023-03-28,380.68829345703125
2023-03-29,386.2215270996094
2023-03-30,388.4829406738281
2023-03-31,393.9585266113281
2023-04-03,395.45965576171875
2023-04-04,393.2655944824219
2023-04-05,392.23590087890625
2023-04-06,393.7659912109375
2023-04-10,394.1700744628906
2023-04-11,394.2760009765625
2023-04-12,392.6689147949219
2023-04-13,397.8846740722656
2023-04-14,396.9126892089844
2023-04-17,398.3369140625
2023-04-18,398.59674072265625
2023-04-19,398.5294189453125
2023-04-20,396.35455322265625
2023-04-21,396.6625671386719
2023-04-24,397.07635498046875
2023-04-25,390.7731628417969
2023-04-26,389.11810302734375
2023-04-27,396.86468505859375
2023-04-28,400.251953125
2023-05-01,399.8477783203125
2023-05-02,395.353759765625
2023-05-03,392.6401062011719
2023-05-04,389.8590087890625
2023-05-05,397.07635498046875
2023-05-08,397.1821594238281
2023-05-09,395.44036865234375
2023-05-10,397.2879943847656
2023-05-11,396.5951843261719
2023-05-12,396.0754699707031
2023-05-15,397.44195556640625
2023-05-16,394.7860412597656
2023-05-17,399.57830810546875
2023-05-18,403.42755126953125
2023-05-19,402.84051513671875
2023-05-22,403.0040588378906
2023-05-23,398.4812927246094
2023-05-24,395.5943603515625
2023-05-25,399.0201721191406
2023-05-26,404.187744140625
2023-05-30,404.3417663574219
2023-05-31,402.09954833984375
2023-06-01,405.9198913574219
2023-06-02,411.7899475097656
2023-06-05,411.00091552734375
2023-06-06,411.8958435058594
2023-06-07,410.4715576171875
2023-06-08,412.954345703125
2023-06-09,413.6953430175781
2023-06-12,417.4482727050781
2023-06-13,420.2005310058594
2023-06-14,420.7008972167969
2023-06-15,425.9166564941406
2023-06-16,424.46588134765625
2023-06-20,422.2636413574219
2023-06-21,420.10003662109375
2023-06-22,421.6165466308594
2023-06-23,418.4291076660156
2023-06-26,416.71954345703125
2023-06-27,421.2881164550781
2023-06-28,421.5006408691406
2023-06-29,423.161865234375
2023-06-30,428.15545654296875
2023-07-03,428.6481018066406
2023-07-05,428.0106506347656
2023-07-06,424.6590270996094
2023-07-07,423.5869140625
2023-07-10,424.6590270996094
2023-07-11,427.363525390625
2023-07-12,430.80206298828125
2023-07-13,434.22125244140625
2023-07-14,433.9507751464844
2023-07-17,435.45758056640625
2023-07-18,438.6932678222656
2023-07-19,439.6688537597656
2023-07-20,436.7518615722656
2023-07-21,436.7518615722656
2023-07-24,438.7029724121094
2023-07-25,439.900634765625
2023-07-26,439.9682312011719
2023-07-27,437.0512390136719
2023-07-28,441.33013916015625
2023-07-31,442.1704406738281
2023-08-01,440.9051208496094
2023-08-02,434.7718200683594
2023-08-03,433.52581787109375
2023-08-04,431.5650329589844
2023-08-07,435.3320617675781
2023-08-08,433.43890380859375
2023-08-09,430.5412902832031
2023-08-10,430.6957702636719
2023-08-11,430.4446105957031
2023-08-14,432.8207092285156
2023-08-15,427.77880859375
