Date,IBB
2020-07-16,139.33731079101562
2020-07-17,141.80979919433594
2020-07-20,143.622314453125
2020-07-21,140.3321990966797
2020-07-22,139.9775848388672
2020-07-23,137.38685607910156
2020-07-24,134.37257385253906
2020-07-27,137.9582061767578
2020-07-28,136.09645080566406
2020-07-29,134.57943725585938
2020-07-30,134.97344970703125
2020-07-31,132.363037109375
2020-08-03,136.50030517578125
2020-08-04,135.6236114501953
2020-08-05,135.22959899902344
2020-08-06,134.71728515625
2020-08-07,134.1952362060547
2020-08-10,132.85556030273438
2020-08-11,129.9102020263672
2020-08-12,131.81138610839844
2020-08-13,131.99859619140625
2020-08-14,131.36814880371094
2020-08-17,133.95884704589844
2020-08-18,133.2003173828125
2020-08-19,131.78184509277344
2020-08-20,131.38783264160156
2020-08-21,130.6194610595703
2020-08-24,129.09259033203125
2020-08-25,131.06275939941406
2020-08-26,130.83621215820312
2020-08-27,130.68844604492188
2020-08-28,131.06275939941406
2020-08-31,133.5746612548828
2020-09-01,131.03321838378906
2020-09-02,132.95408630371094
2020-09-03,127.96965789794922
2020-09-04,127.34908294677734
2020-09-08,124.98490905761719
2020-09-09,127.42784881591797
2020-09-10,125.27058410644531
2020-09-11,125.88131713867188
2020-09-14,132.69796752929688
2020-09-15,134.03765869140625
2020-09-16,134.12631225585938
2020-09-17,133.604248046875
2020-09-18,134.283935546875
2020-09-21,130.84608459472656
2020-09-22,131.84092712402344
2020-09-23,130.1685028076172
2020-09-24,128.79864501953125
2020-09-25,131.53839111328125
2020-09-28,132.5337677001953
2020-09-29,132.6619110107422
2020-09-30,133.45030212402344
2020-10-01,134.69210815429688
2020-10-02,131.9326171875
2020-10-05,137.55010986328125
2020-10-06,135.8845672607422
2020-10-07,138.94956970214844
2020-10-08,139.33389282226562
2020-10-09,140.46728515625
2020-10-12,141.57107543945312
2020-10-13,142.25108337402344
2020-10-14,140.38839721679688
2020-10-15,137.19534301757812
2020-10-16,137.6881103515625
2020-10-19,135.44105529785156
2020-10-20,134.55410766601562
2020-10-21,132.2479705810547
2020-10-22,134.17959594726562
2020-10-23,134.51470947265625
2020-10-26,133.15464782714844
2020-10-27,133.90367126464844
2020-10-28,130.44447326660156
2020-10-29,131.13429260253906
2020-10-30,128.72962951660156
2020-11-02,128.49310302734375
2020-11-03,130.7696533203125
2020-11-04,138.66378784179688
2020-11-05,138.59478759765625
2020-11-06,135.74661254882812
2020-11-09,135.63821411132812
2020-11-10,135.74661254882812
2020-11-11,137.490966796875
2020-11-12,137.51068115234375
2020-11-13,139.01853942871094
2020-11-16,139.0382843017578
2020-11-17,138.7228546142578
2020-11-18,135.92401123046875
2020-11-19,136.09149169921875
2020-11-20,136.86026000976562
2020-11-23,137.0671844482422
2020-11-24,136.24923706054688
2020-11-25,136.93910217285156
2020-11-27,141.1473388671875
2020-11-30,142.8818359375
2020-12-01,143.2169189453125
2020-12-02,142.8916778564453
2020-12-03,144.3206787109375
2020-12-04,145.66099548339844
2020-12-07,145.67088317871094
2020-12-08,148.2529296875
2020-12-09,145.46389770507812
2020-12-10,147.65176391601562
2020-12-11,148.0164337158203
2020-12-14,151.47219848632812
2020-12-15,151.7581024169922
2020-12-16,150.75244140625
2020-12-17,152.91168212890625
2020-12-18,153.5624237060547
2020-12-21,154.1046905517578
2020-12-22,154.40048217773438
2020-12-23,155.1005096435547
2020-12-24,153.92721557617188
2020-12-28,151.51161193847656
2020-12-29,149.77635192871094
2020-12-30,150.3383331298828
2020-12-31,149.3622589111328
2021-01-04,148.3762969970703
2021-01-05,148.6819305419922
2021-01-06,150.4862518310547
2021-01-07,155.06106567382812
2021-01-08,156.007568359375
2021-01-11,155.75123596191406
2021-01-12,156.13577270507812
2021-01-13,155.81036376953125
2021-01-14,159.59645080566406
2021-01-15,159.43870544433594
2021-01-19,162.514892578125
2021-01-20,162.68247985839844
2021-01-21,161.23312377929688
2021-01-22,162.3768768310547
2021-01-25,165.3938751220703
2021-01-26,162.514892578125
2021-01-27,157.6048126220703
2021-01-28,158.15695190429688
2021-01-29,158.38377380371094
2021-02-01,160.4049530029297
2021-02-02,162.18951416015625
2021-02-03,161.57823181152344
2021-02-04,163.78675842285156
2021-02-05,166.6756134033203
2021-02-08,170.17575073242188
2021-02-09,169.2489776611328
2021-02-10,167.86859130859375
2021-02-11,167.34605407714844
2021-02-12,168.3221893310547
2021-02-16,164.66427612304688
2021-02-17,165.17694091796875
2021-02-18,162.38670349121094
2021-02-19,163.97409057617188
2021-02-22,159.86265563964844
2021-02-23,157.62451171875
2021-02-24,159.1527862548828
2021-02-25,154.94273376464844
2021-02-26,154.725830078125
2021-03-01,157.4076385498047
2021-03-02,154.1737060546875
2021-03-03,148.6523895263672
2021-03-04,145.07334899902344
2021-03-05,148.0410614013672
2021-03-08,145.16204833984375
2021-03-09,149.4312286376953
2021-03-10,149.48057556152344
2021-03-11,153.69061279296875
2021-03-12,152.57644653320312
2021-03-15,154.85400390625
2021-03-16,154.8835906982422
2021-03-17,155.9681396484375
2021-03-18,151.1271514892578
2021-03-19,153.70042419433594
2021-03-22,155.60333251953125
2021-03-23,149.49041748046875
2021-03-24,145.240966796875
2021-03-25,146.72215270996094
2021-03-26,147.17616271972656
2021-03-29,145.31100463867188
